filename,duration_sec,mean_L,median_L,std_L,min_L,max_L,range_L,skew_L,kurtosis_L,delta_L_std,mean_f1,median_f1,std_f1,min_f1,max_f1,range_f1,skew_f1,kurtosis_f1,mean_f2,median_f2,std_f2,min_f2,max_f2,range_f2,skew_f2,kurtosis_f2,mean_f2_f1,std_f2_f1
common_voice_en_38077745.mp3,2.8000,29.6190,27.3864,13.1926,7.6073,91.2880,83.6807,1.6356,4.5181,10.7434,344.3109,313.1115,147.9904,93.9335,1127.2016,1033.2681,1.3178,3.3181,6003.9139,5667.3190,3206.1802,1909.9804,14465.7534,12555.7730,0.6854,-0.3736,20.8669,16.7685
common_voice_en_30694366.mp3,1.3200,31.3660,30.4293,15.4896,7.2069,91.2880,84.0811,1.8970,5.2934,14.4400,347.0320,281.8004,208.1249,93.9335,1189.8239,1095.8904,2.2208,4.8078,7719.1484,5197.6517,4835.0148,1596.8689,14465.7534,12868.8845,0.2228,-1.6766,30.5314,27.5592
common_voice_en_37038151.mp3,3.4200,23.4789,21.0665,14.8239,7.2069,91.2880,84.0811,2.0684,5.3030,13.4676,488.4357,407.0450,250.6730,93.9335,1189.8239,1095.8904,0.8367,0.0264,6070.6103,4446.1840,3613.2118,1471.6243,14434.4423,12962.8180,1.1730,0.1352,17.8051,20.4556
common_voice_en_38354420.mp3,3.8900,19.7901,16.1097,12.9326,7.2069,91.2880,84.0811,1.8356,4.0658,11.5242,589.2775,532.2896,287.9596,93.9335,1189.8239,1095.8904,0.3377,-0.9729,5191.9368,3632.0939,3342.1499,1409.0020,14465.7534,13056.7515,1.4428,1.0062,12.2770,14.7262
common_voice_en_30668241.mp3,1.5800,27.5306,24.8967,14.6736,7.6073,91.2880,83.6807,1.8542,5.3528,12.9136,401.0999,344.4227,219.2107,93.9335,1127.2016,1033.2681,1.4860,1.8718,7147.6628,5996.0861,3488.9431,1127.2016,14465.7534,13338.5519,0.3983,-0.8380,24.7129,21.4864
common_voice_en_30531623.mp3,3.4400,21.2003,18.2576,13.7561,7.4017,91.2880,83.8863,2.3878,7.8300,12.9909,537.3868,469.6673,258.9197,93.9335,1158.5127,1064.5793,0.4888,-0.7625,6819.0962,5636.0078,3136.1276,2097.8474,14465.7534,12367.9061,0.7371,-0.2737,17.4613,14.9918
common_voice_en_30531304.mp3,2.8400,30.6754,24.8967,18.9178,7.2069,91.2880,84.0811,1.5670,2.3718,15.9044,382.1284,344.4227,213.4017,93.9335,1189.8239,1095.8904,1.2513,1.8749,5435.7928,5823.8748,2961.8047,2191.7808,14497.0646,12305.2838,1.0991,1.0606,20.3483,18.8556
common_voice_en_20317684.mp3,1.6000,24.5027,18.2576,16.7940,7.6073,91.2880,83.6807,2.6072,7.1323,18.2114,450.5871,469.6673,187.4479,93.9335,1127.2016,1033.2681,0.5147,1.1771,12354.8924,8688.8454,7134.6919,2724.0705,21698.6301,18974.5597,0.1312,-1.5441,40.2775,43.8598
common_voice_en_33932791.mp3,0.5300,36.7596,30.4293,19.0575,8.8343,91.2880,82.4537,1.0638,0.7227,21.4850,306.6130,281.8004,181.6962,93.9335,970.6458,876.7123,1.8431,3.6864,6506.8124,4070.4501,4197.7269,2974.5597,14434.4423,11459.8826,0.9810,-0.7180,29.5053,27.2112
common_voice_en_18887.mp3,1.1500,14.2510,10.1431,9.2813,7.3030,60.8587,53.5556,2.1719,5.5231,9.0811,772.7048,845.4012,298.6693,140.9002,1174.1683,1033.2681,-0.4517,-1.0849,9231.2091,6105.6751,5605.2842,3569.4716,21698.6301,18129.1585,1.1060,-0.2958,16.6905,18.7796
common_voice_en_25995.mp3,0.3800,37.3860,36.5152,25.1199,9.1288,91.2880,82.1592,0.7499,-0.2401,28.8911,399.2172,234.8337,302.9934,93.9335,939.3346,845.4012,0.7563,-1.1437,13874.9614,12939.3346,4992.6511,3287.6712,21651.6634,18363.9922,0.0431,-0.6969,64.4313,49.8607
common_voice_en_35672.mp3,0.7900,21.2783,16.5978,14.0562,7.6073,91.2880,83.6807,2.6819,8.2309,16.1600,515.4450,516.6341,223.3116,93.9335,1127.2016,1033.2681,0.6997,0.5174,8953.4048,8688.8454,5344.0764,2771.0372,21651.6634,18880.6262,1.0473,0.4549,22.7782,23.2719
common_voice_en_37153426.mp3,5.2800,18.4522,15.2147,11.1638,7.2069,91.2880,84.0811,2.9776,11.4216,8.0163,564.4310,563.6008,198.9722,93.9335,1189.8239,1095.8904,-0.1811,-0.5585,6345.3122,5698.6301,3265.1117,1471.6243,14497.0646,13025.4403,0.6309,-0.3550,13.4599,11.0530
common_voice_en_30531290.mp3,1.8900,25.4069,21.0665,16.3256,7.2069,91.2880,84.0811,1.8571,4.1071,13.5217,456.4139,407.0450,227.8478,93.9335,1189.8239,1095.8904,0.6021,-0.1424,6191.1596,6356.1644,3136.2893,2254.4031,14465.7534,12211.3503,0.6543,-0.0720,18.1985,18.5177
common_voice_en_19020.mp3,1.1400,11.3870,9.1288,5.7928,7.3030,45.6440,38.3410,3.2442,13.0023,8.1045,859.4088,939.3346,241.6504,187.8669,1174.1683,986.3014,-0.7017,-0.2419,9586.9812,6669.2759,5534.0632,3428.5714,21651.6634,18223.0920,1.1438,-0.3575,12.7818,9.5165
common_voice_en_16616.mp3,0.2400,31.1821,24.4521,17.2542,16.5978,91.2880,74.6902,1.9023,3.7099,23.9727,336.5949,352.2505,125.4890,93.9335,516.6341,422.7006,-0.2180,-1.0526,5536.2035,4320.9393,2799.3943,2630.1370,12774.9511,10144.8141,0.7113,-0.4554,18.9096,11.3107
common_voice_en_30531981.mp3,2.2300,27.3670,22.8220,16.1157,7.8247,91.2880,83.4633,1.7346,3.4287,13.2355,406.7642,375.7339,192.1015,93.9335,1095.8904,1001.9569,0.7061,0.5981,6739.4803,6105.6751,3158.7404,2317.0254,14465.7534,12148.7280,0.4273,-0.8258,22.7522,20.6308
common_voice_en_31642421.mp3,1.6700,27.5829,24.8967,19.1315,7.2069,91.2880,84.0811,1.4553,2.0814,14.7646,475.6671,344.4227,299.1104,93.9335,1189.8239,1095.8904,0.7696,-0.5846,7679.4825,6888.4540,4423.7846,2003.9139,14465.7534,12461.8395,0.2644,-1.5384,25.5622,24.3998
common_voice_en_37126173.mp3,3.4500,27.2710,22.8220,17.4822,7.2069,91.2880,84.0811,1.6940,3.1491,14.9275,435.2704,375.7339,238.7722,93.9335,1189.8239,1095.8904,0.9444,0.5583,5690.5528,4915.8513,3509.5864,1784.7358,14465.7534,12681.0176,1.2622,0.5998,18.7404,19.4365
common_voice_en_36814060.mp3,3.8700,24.3484,24.8967,10.3861,7.4017,91.2880,83.8863,2.1835,10.0705,9.8353,414.5694,344.4227,185.1138,93.9335,1158.5127,1064.5793,1.6726,3.1577,7416.7792,5886.4971,4002.8960,2254.4031,14465.7534,12211.3503,0.4189,-1.1971,21.4032,16.1604
common_voice_en_9100.mp3,0.8600,22.1251,19.2719,12.1943,7.6073,91.2880,83.6807,2.8208,11.2507,11.5047,469.6673,446.1840,192.8524,93.9335,1127.2016,1033.2681,0.9916,1.6291,9590.4974,8759.2955,3214.7333,2583.1703,21041.0959,18457.9256,0.4890,1.1881,24.5716,16.1058
common_voice_en_32259849.mp3,1.6800,19.1019,16.1097,13.3244,7.4017,91.2880,83.8863,3.1793,11.7064,12.5097,566.2100,532.2896,216.1598,93.9335,1158.5127,1064.5793,0.1192,-0.1633,5017.6125,4587.0841,2170.6901,2567.5147,14371.8200,11804.3053,2.4544,6.7178,10.8393,7.3714
common_voice_en_31939656.mp3,4.1000,25.5952,21.0665,14.1717,7.4017,91.2880,83.8863,1.8480,4.8926,12.2922,428.2755,407.0450,211.1175,93.9335,1158.5127,1064.5793,1.1033,1.2546,6065.8871,5761.2524,3254.8393,2035.2250,14497.0646,12461.8395,0.9734,0.3116,19.2990,19.2689
common_voice_en_23908666.mp3,1.3100,30.3817,26.0823,15.0476,12.1717,91.2880,79.1163,2.2338,6.1216,16.3090,334.5035,328.7671,129.1167,93.9335,704.5010,610.5675,0.7741,0.7440,12451.5618,12774.9511,5862.3545,4367.9061,21698.6301,17330.7241,0.0944,-1.4225,44.1211,28.1592
common_voice_en_17789461.mp3,0.7100,13.5335,9.1288,13.1916,7.3030,91.2880,83.9850,3.9901,17.4755,17.6758,845.4012,939.3346,272.4960,93.9335,1174.1683,1080.2348,-1.1177,0.5309,4971.8585,3334.6380,3692.4495,2911.9374,21557.7299,18645.7926,2.3359,5.2126,8.5767,16.4230
common_voice_en_35214.mp3,0.5200,13.9543,11.7914,6.6086,7.3030,45.6440,38.3410,2.2156,7.8237,7.2972,722.5651,727.9843,261.8489,187.8669,1174.1683,986.3014,0.0719,-1.2619,5286.4670,3851.2720,3729.2160,2160.4697,21510.7632,19350.2935,2.8765,8.0167,9.0066,8.1202
common_voice_en_32858363.mp3,2.5200,22.2966,19.5617,13.8948,7.4017,91.2880,83.8863,2.9036,10.7660,15.7746,484.3289,438.3562,209.1576,93.9335,1158.5127,1064.5793,0.6531,0.2404,6339.3906,5557.7299,3889.3533,1471.6243,14465.7534,12994.1292,0.7670,-0.6519,15.9462,13.3961
common_voice_en_121120.mp3,0.3200,31.6338,28.2558,23.0867,7.3030,91.2880,83.9850,1.0465,0.4049,25.7646,468.1996,305.2838,333.0344,93.9335,1174.1683,1080.2348,0.7315,-0.8583,10909.4912,8383.5616,4907.3526,5166.3405,21651.6634,16485.3229,0.9562,-0.1993,38.0479,31.3425
common_voice_en_34961859.mp3,2.6600,22.6308,19.5617,12.1975,7.2069,91.2880,84.0811,2.0786,5.9453,11.9779,468.0194,438.3562,204.6131,93.9335,1189.8239,1095.8904,0.9095,1.1614,7990.5831,8908.0235,2772.7989,1909.9804,14465.7534,12555.7730,-0.0569,-0.8895,21.6046,15.1183
common_voice_en_90508.mp3,0.5800,18.6580,12.6064,14.5930,7.9381,91.2880,83.3499,2.6977,9.2518,17.3274,641.3388,681.0176,284.6942,93.9335,1080.2348,986.3014,-0.2524,-1.2936,7905.7966,7514.6771,4146.4524,3099.8043,21416.8297,18317.0254,0.7146,0.1247,16.7332,17.1283
common_voice_en_32642543.mp3,2.4400,19.4753,17.1165,13.2032,7.2069,91.2880,84.0811,3.1722,13.1949,11.8873,572.7118,500.9785,264.4131,93.9335,1189.8239,1095.8904,0.6244,-0.4189,6472.9396,5385.5186,3607.8516,1189.8239,14434.4423,13244.6184,0.9695,-0.2826,15.7333,19.5276
common_voice_en_13764.mp3,1.6800,22.4009,16.5978,17.1945,7.3030,91.2880,83.9850,2.2753,5.7323,16.4999,550.4613,516.6341,282.9594,93.9335,1174.1683,1080.2348,0.4800,-0.4645,12694.1571,9698.6301,5976.9070,2442.2701,21698.6301,19256.3601,0.3820,-1.4266,36.7840,39.1667
common_voice_en_37811183.mp3,1.7600,21.5616,19.5617,13.6232,7.2069,91.2880,84.0811,2.3697,8.1130,14.8559,536.7372,438.3562,288.3797,93.9335,1189.8239,1095.8904,0.8356,-0.4391,5595.6236,4070.4501,3297.5920,1409.0020,14434.4423,13025.4403,1.2365,0.7027,13.2395,10.3738
common_voice_en_16639.mp3,0.3700,25.9338,18.2576,19.3686,7.6073,91.2880,83.6807,2.2825,4.6678,24.3109,451.8961,469.6673,213.2392,93.9335,1127.2016,1033.2681,0.7560,1.1976,10355.5297,10050.8806,5957.2852,2724.0705,21698.6301,18974.5597,0.4444,-1.1114,30.2955,23.9044
common_voice_en_32838614.mp3,3.1800,19.7452,15.2147,11.9964,7.2069,91.2880,84.0811,2.4415,8.7412,10.8503,550.8991,563.6008,234.1577,93.9335,1189.8239,1095.8904,0.3344,-0.3373,7017.7356,6183.9530,3495.8798,2223.0920,14465.7534,12242.6614,0.9639,-0.2981,17.4299,16.9167
common_voice_en_35294.mp3,0.2100,13.9679,13.0411,6.1712,7.3030,30.4293,23.1263,0.8524,0.1483,5.0589,735.8121,657.5342,297.5148,281.8004,1174.1683,892.3679,0.2432,-1.3899,8243.7797,4367.9061,5315.1935,2864.9706,21463.7965,18598.8258,0.9659,-0.1617,13.9863,10.9845
common_voice_en_30488880.mp3,1.2700,21.5908,13.0411,15.6793,7.2069,68.4660,61.2591,1.4453,1.2155,12.9028,574.2022,657.5342,276.5946,125.2446,1189.8239,1064.5793,-0.0764,-0.9914,6910.8896,6074.3640,3382.3965,2129.1585,14465.7534,12336.5949,0.8327,-0.3882,19.6770,22.3886
common_voice_en_20218.mp3,1.0300,13.9658,12.1717,7.2289,7.3030,60.8587,53.5556,3.3962,16.6309,8.6119,713.1647,704.5010,233.2091,140.9002,1174.1683,1033.2681,-0.0201,-0.5822,8155.7958,4790.6067,6517.3414,2301.3699,21698.6301,19397.2603,1.2079,-0.2196,12.0648,10.3768
common_voice_en_37305991.mp3,0.7300,20.8961,15.2147,11.5318,8.0548,68.4660,60.4112,1.6467,2.9694,11.2591,510.8436,563.6008,205.8029,125.2446,1064.5793,939.3346,0.0969,-0.4992,7391.1482,6982.3875,3614.8923,2097.8474,14340.5088,12242.6614,0.2879,-1.0095,19.1153,16.5751
common_voice_en_32914601.mp3,1.6200,15.4545,14.0536,8.6972,7.2069,91.2880,84.0811,4.7397,35.6766,8.7336,657.9208,610.5675,238.5598,93.9335,1189.8239,1095.8904,0.1317,-1.0650,9062.6465,9863.0137,4231.1914,1628.1800,14465.7534,12837.5734,-0.2662,-1.3003,15.3106,9.1671
common_voice_en_19784446.mp3,0.7900,30.0748,30.4293,22.6175,7.3030,91.2880,83.9850,0.7326,-0.1700,19.7157,555.8721,281.8004,407.9729,93.9335,1174.1683,1080.2348,0.3425,-1.6238,10351.7055,9158.5127,5208.4418,2958.9041,21604.6967,18645.7926,0.7042,-0.4812,40.6740,45.1427
common_voice_en_9523.mp3,1.6100,16.4768,14.0443,7.9715,7.6073,60.8587,53.2513,2.4220,7.3702,8.8720,602.1077,610.5675,195.3667,140.9002,1127.2016,986.3014,-0.0020,-0.1819,13340.3022,14606.6536,6271.5002,3005.8708,21698.6301,18692.7593,-0.0894,-1.4361,26.0609,18.8376
common_voice_en_31067014.mp3,1.1800,28.7872,27.3864,11.3972,7.2069,91.2880,84.0811,1.7898,7.4162,13.0794,352.6485,313.1115,186.3317,93.9335,1189.8239,1095.8904,2.7150,7.8328,9326.7438,11318.9824,4154.2352,1784.7358,14465.7534,12681.0176,-0.3718,-1.2251,32.2071,21.7980
common_voice_en_36311457.mp3,2.5500,29.5015,27.3864,13.1497,7.2069,91.2880,84.0811,1.3414,2.6676,13.5114,355.4737,313.1115,190.8539,93.9335,1189.8239,1095.8904,2.3847,6.9309,6624.5808,5886.4971,3052.2397,1690.8023,14434.4423,12743.6399,0.5558,-0.4060,22.9711,15.6829
common_voice_en_38579723.mp3,1.2200,25.5671,21.0665,15.2223,7.4017,91.2880,83.8863,1.3813,2.2425,12.1789,460.6846,407.0450,261.6757,93.9335,1158.5127,1064.5793,1.0618,0.5141,4158.4806,3005.8708,2921.0255,2379.6477,14465.7534,12086.1057,2.4883,5.2118,12.0286,10.6742
common_voice_en_32886823.mp3,4.5600,22.1890,19.5617,12.7561,7.2069,91.2880,84.0811,2.2570,7.7665,11.8274,492.6700,438.3562,231.4534,93.9335,1189.8239,1095.8904,0.7707,0.1063,7208.9814,6027.3973,4131.0459,1596.8689,14465.7534,12868.8845,0.4412,-1.1730,19.4118,18.3347
common_voice_en_35193035.mp3,1.4000,27.9565,27.3864,12.2525,7.4017,91.2880,83.8863,1.7445,5.3978,10.8563,367.0115,313.1115,178.9347,93.9335,1158.5127,1064.5793,2.1732,6.0905,6439.3626,5573.3855,4021.7012,1565.5577,14465.7534,12900.1957,0.8318,-0.6551,21.0073,18.7587
common_voice_en_33165553.mp3,2.2800,19.2220,18.2576,11.3546,7.2069,91.2880,84.0811,3.2702,15.8401,11.0160,562.2275,469.6673,267.3261,93.9335,1189.8239,1095.8904,0.9317,-0.1126,4534.3496,2911.9374,3264.4619,1628.1800,14434.4423,12806.2622,1.8491,2.3637,9.7841,11.2467
common_voice_en_32371964.mp3,1.5500,34.1084,30.4293,19.5635,7.6073,91.2880,83.6807,1.0802,1.3127,19.2918,369.6736,281.8004,265.4243,93.9335,1127.2016,1033.2681,1.4129,0.7298,7351.6571,6481.4090,3465.3249,2724.0705,14434.4423,11710.3718,0.8952,-0.3719,31.5057,26.7468
common_voice_en_33932677.mp3,1.0300,39.1885,34.2330,16.8937,7.8247,91.2880,83.4633,0.9421,0.9665,18.4842,268.1208,250.4892,148.5808,93.9335,1095.8904,1001.9569,2.7877,10.8698,6047.9167,3913.8943,3919.3411,2097.8474,14434.4423,12336.5949,0.9959,-0.5583,26.3127,20.1003
common_voice_en_35202337.mp3,2.9000,25.1109,22.8220,16.2183,7.2069,91.2880,84.0811,1.3698,2.8386,13.4856,525.2716,375.7339,353.4926,93.9335,1189.8239,1095.8904,0.8191,-0.9192,6964.8964,6356.1644,3923.2607,2035.2250,14465.7534,12430.5284,0.6988,-0.7532,21.6595,24.0133
common_voice_en_32644767.mp3,2.2800,19.7627,17.1165,11.1445,7.2069,91.2880,84.0811,2.9576,14.0120,10.0801,532.2896,500.9785,219.1781,93.9335,1189.8239,1095.8904,0.5182,-0.2157,5097.1264,3115.4599,3483.2880,1659.4912,14465.7534,12806.2622,1.4942,1.1266,12.1377,11.8591
common_voice_en_37038181.mp3,3.3000,23.0677,21.0665,11.7153,7.2069,91.2880,84.0811,2.6420,10.8854,10.3519,448.9830,407.0450,199.7320,93.9335,1189.8239,1095.8904,1.3890,2.3876,6096.2818,5510.7632,3562.6324,1502.9354,14465.7534,12962.8180,1.1743,0.3480,16.8866,16.0067
common_voice_en_30488871.mp3,2.2900,24.6300,21.0665,15.9386,7.2069,91.2880,84.0811,2.0046,5.0933,14.4596,469.8040,407.0450,231.7853,93.9335,1189.8239,1095.8904,0.5195,-0.3505,6366.8293,5792.5636,3651.3885,1628.1800,14465.7534,12837.5734,0.9691,-0.1733,19.5725,21.3044
common_voice_en_32687964.mp3,1.2900,27.3101,13.6932,25.0376,7.2069,91.2880,84.0811,1.2936,0.4359,22.5853,598.5528,626.2231,374.2874,93.9335,1189.8239,1095.8904,0.1645,-1.3397,7071.9519,5604.6967,3246.3856,2473.5812,14465.7534,11992.1722,0.5649,-0.9510,24.2464,28.3437
common_voice_en_38741484.mp3,2.8600,18.4796,13.6932,14.3227,7.2069,91.2880,84.0811,2.9182,10.4914,14.3522,633.8867,626.2231,281.8543,93.9335,1189.8239,1095.8904,0.0766,-0.8829,5582.4723,5463.7965,2722.1639,2097.8474,14403.1311,12305.2838,1.0446,1.2721,11.1249,10.6313
common_voice_en_23569.mp3,0.1000,30.3295,13.5427,26.5770,9.6093,91.2880,81.6788,1.1608,0.1106,34.7425,521.3307,634.0509,303.2538,93.9335,892.3679,798.4344,-0.2578,-1.6697,4217.6125,3968.6888,928.1843,3287.6712,6246.5753,2958.9041,0.8358,-0.3109,14.5553,12.9440
common_voice_en_32757018.mp3,1.6100,34.3204,30.4293,20.6941,7.2069,91.2880,84.0811,1.0151,0.8681,21.6715,386.4302,281.8004,294.3895,93.9335,1189.8239,1095.8904,1.4026,0.6688,6823.3035,7890.4110,3038.5881,2348.3366,14403.1311,12054.7945,0.0997,-0.8457,30.0433,25.1806
common_voice_en_12829.mp3,1.0600,15.2804,10.7398,12.0781,7.3030,91.2880,83.9850,3.4459,15.2190,11.8156,737.2891,798.4344,277.9465,93.9335,1174.1683,1080.2348,-0.4901,-0.7465,11600.7828,8970.6458,6071.0918,3334.6380,21698.6301,18363.9922,0.4851,-1.2736,18.5976,12.0794
common_voice_en_74040.mp3,1.9000,19.9541,16.5978,12.0939,7.3030,91.2880,83.9850,2.4543,8.2239,12.3494,545.5557,516.6341,237.8047,93.9335,1174.1683,1080.2348,0.4360,-0.5476,10978.1028,6363.9922,6617.9515,1878.6693,21698.6301,19819.9609,0.4771,-1.4208,26.4631,24.4800
common_voice_en_16262.mp3,0.1700,29.4780,20.2862,18.2026,14.0443,91.2880,77.2437,2.1868,4.9888,13.4735,370.2084,422.7006,153.5750,93.9335,610.5675,516.6341,0.0340,-1.1865,10310.5790,9064.5793,4325.1750,3569.4716,21416.8297,17847.3581,0.8900,0.6916,32.6288,18.7066
common_voice_en_38598177.mp3,2.6000,23.4072,19.5617,13.5018,7.4017,91.2880,83.8863,2.0320,5.7122,10.7200,471.7146,438.3562,230.9877,93.9335,1158.5127,1064.5793,0.9280,0.3521,5675.9898,3412.9159,3560.1125,2254.4031,14465.7534,12211.3503,1.0831,-0.1959,15.9562,17.5866
common_voice_en_48540.mp3,1.3600,29.6463,22.8220,20.0782,7.9381,91.2880,83.3499,1.7222,2.7364,23.5301,409.9229,375.7339,227.7129,93.9335,1080.2348,986.3014,0.8300,0.0519,11693.6802,9393.3464,6210.5779,4273.9726,21698.6301,17424.6575,0.3737,-1.3438,45.1757,44.5089
common_voice_en_32973.mp3,0.7700,22.8159,15.2147,14.9762,9.1288,91.2880,82.1592,2.1077,4.9057,15.1970,484.9163,563.6008,190.5080,93.9335,939.3346,845.4012,-0.2638,-0.4818,6006.8620,3945.2055,3931.0245,2771.0372,17283.7573,14512.7202,1.5580,1.3208,15.1645,15.8599
common_voice_en_44751.mp3,0.2800,23.6717,18.2576,16.2130,7.9381,91.2880,83.3499,2.7021,8.1784,21.7759,471.3447,469.6673,215.4050,93.9335,1080.2348,986.3014,1.0166,1.7153,11226.7263,10567.5147,6803.7120,3005.8708,21557.7299,18551.8591,0.2034,-1.5750,24.7467,11.8642
common_voice_en_45022.mp3,0.8600,23.8180,20.2862,12.7938,7.9381,60.8587,52.9206,1.3292,1.2827,12.4446,458.7448,422.7006,219.4389,140.9002,1080.2348,939.3346,0.8586,0.3509,12185.6824,12446.1840,6657.4494,3804.3053,21698.6301,17894.3249,0.1811,-1.6433,32.4473,23.3158
common_voice_en_32804718.mp3,3.3700,23.0792,21.0665,10.4212,7.2069,91.2880,84.0811,3.0371,15.7487,11.0609,429.5296,407.0450,164.9459,93.9335,1189.8239,1095.8904,1.3989,3.6775,7489.8697,5667.3190,4168.3679,1534.2466,14622.3092,13088.0626,0.5032,-1.3302,20.2170,14.5974
common_voice_en_36612984.mp3,2.6100,21.7965,17.1165,14.4930,7.8247,91.2880,83.4633,2.5008,7.8559,13.1386,517.1739,500.9785,234.3527,93.9335,1095.8904,1001.9569,0.3491,-0.6712,6756.9712,6199.6086,3762.7160,1628.1800,14465.7534,12837.5734,0.7561,-0.4347,19.5007,23.5022
